id,popularity,budget,revenue,original_title,director,runtime,genres,vote_count,vote_average,release_year
23330,0.193759,3716946,3500000,the ballad of cable hogue,sam peckinpah,121,action|comedy|western,19,7.3,1970
17276,0.178967,1800000,610986,carry on up the jungle,gerald thomas,89,comedy,10,6.5,1970
14676,0.177166,1800000,610986,a man called horse,elliot silverstein,114,action|adventure|drama|western,26,6.6,1970
132,0.291051,1800000,252570,gimme shelter,albert maysles|charlotte zwerin|david maysles,91,documentary|music,21,7.6,1970
38765,0.15734,6000000,6000000,chisum,andrew v. mclaglen,111,action|western,18,6.7,1970
20556,0.146682999999999,1800000,610986,let it be,michael lindsay-hogg,81,documentary|music,16,6.3,1970
26593,0.2348,1800000,610986,rio lobo,howard hawks,114,action|western,17,5.7,1970
59408,0.133551,1800000,610986,deep end,jerzy skolimowski,90,romance|drama|comedy,13,6.1,1970
5185,0.429246,10000000,1500000,the private life of sherlock holmes,billy wilder,125,adventure|comedy|crime|mystery|romance,21,6.7,1970
33157,0.09215,25000000,3052000,waterloo,sergey bondarchuk,128,action|drama|foreign|history,10,6.2,1970
31952,0.085301,1800000,610986,the vampire lovers,roy ward baker,91,horror,16,6.5,1970
51992,0.080626,1800000,610986,and soon the darkness,robert fuest,99,mystery|thriller,10,7.5,1970
4910,0.194705,525497,610986,the man who haunted himself,basil dearden,94,crime|fantasy|science fiction|thriller,13,6.3,1970
27172,0.02076,1800000,610986,there was a crooked man...,joseph l. mankiewicz,126,action|comedy|drama|western,10,6.7,1970
660,1.910465,11000000,141195658,thunderball,terence young,130,adventure|action|thriller,331,6.3,1965
15121,1.313676,8200000,163214286,the sound of music,robert wise,174,drama|family|music|romance,620,7.2,1965
907,1.282053,14000000,111721910,doctor zhivago,david lean,197,drama|romance|war,126,6.9,1965
10338,0.622157,5600000,29950000,those magnificent men in their flying machines or how i flew from london to paris in 25 hours 11 minutes,ken annakin,138,action|adventure|comedy,19,6.6,1965
13187,0.600975,96000,610986,a charlie brown christmas,bill melendez,25,animation|family|comedy|tv movie,84,7.6,1965
4879,0.484904,1800000,610986,ten little indians,george pollock,90,crime|drama|thriller|mystery,12,6.6,1965
